"","Pop","logviralload","nutrient","value"
"1","STB",1.535725642,"NP",16.3596097200344
"2","STB",1.535725642,"NH4",1.05442479285393e-05
"3","STB",1.535725642,"SRP",6.44529307788229e-07
"4","STB",1.277987725,"NP",10.60493891103
"5","STB",1.277987725,"NH4",2.87796470112549e-05
"6","STB",1.277987725,"SRP",2.71379658597767e-06
"7","STB",1.660863943,"NP",10.7694137886857
"8","STB",1.660863943,"NH4",2.78039166259955e-05
"9","STB",1.660863943,"SRP",2.58174838218271e-06
"10","STB",1.046793426,"NP",9.9822696729565
"11","STB",1.046793426,"NH4",2.35578454810296e-05
"12","STB",1.046793426,"SRP",2.35996885005536e-06
"13","STB",1.26018208,"NP",16.2235176618336
"14","STB",1.26018208,"NH4",3.01324869252579e-05
"15","STB",1.26018208,"SRP",1.85733375173904e-06
"16","STB",1.147887468,"NP",13.2012774260535
"17","STB",1.147887468,"NH4",4.12441743248008e-05
"18","STB",1.147887468,"SRP",3.12425631199926e-06
"19","STB",1.429892805,"NP",13.1776157211358
"20","STB",1.429892805,"NH4",3.25158561941086e-05
"21","STB",1.429892805,"SRP",2.46750678439923e-06
"22","STB",1.353264717,"NP",16.116630301359
"23","STB",1.353264717,"NH4",2.99227072078766e-05
"24","STB",1.353264717,"SRP",1.85663545346408e-06
"25","STB",1.725488276,"NP",10.3859057198797
"26","STB",1.725488276,"NH4",1.98659385637304e-05
"27","STB",1.725488276,"SRP",1.91277863477087e-06
"28","STB",1.483878812,"NP",12.0955499591715
"29","STB",1.483878812,"NH4",1.50141458506965e-05
"30","STB",1.483878812,"SRP",1.24129501356918e-06
"31","RR",2.692333063,"NP",7.21167142334376
"32","RR",2.692333063,"NH4",2.8597304990757e-05
"33","RR",2.692333063,"SRP",3.96541984680405e-06
"34","RR",1.449653478,"NP",13.7801733772141
"35","RR",1.449653478,"NH4",3.24810639960588e-05
"36","RR",1.449653478,"SRP",2.35708674389882e-06
"37","RR",1.80123895,"NP",15.34255823031
"38","RR",1.80123895,"NH4",1.80480661041044e-05
"39","RR",1.80123895,"SRP",1.17634007531088e-06
"40","RR",1.924505582,"NP",12.1681141382272
"41","RR",1.924505582,"NH4",1.83487400309425e-05
"42","RR",1.924505582,"SRP",1.50793621940957e-06
"43","RR",1.262305776,"NP",7.99033904329347
"44","RR",1.262305776,"NH4",3.3935565999591e-05
"45","RR",1.262305776,"SRP",4.2470746004294e-06
"46","RR",1.418201128,"NP",20.7810538282899
"47","RR",1.418201128,"NH4",1.23151299785624e-05
"48","RR",1.418201128,"SRP",5.92613352543142e-07
"49","RR",2.08294636,"NP",9.22960768337738
"50","RR",2.08294636,"NH4",2.44792735899761e-05
"51","RR",2.08294636,"SRP",2.65225505024049e-06
"52","RR",1.502998284,"NP",5.4766142612007
"53","RR",1.502998284,"NH4",9.04392104127342e-06
"54","RR",1.502998284,"SRP",1.65137083057784e-06
"55","RR",1.573330452,"NP",9.14804844852734
"56","RR",1.573330452,"NH4",1.83492270837397e-05
"57","RR",1.573330452,"SRP",2.00580781649594e-06
"58","SQR",1.713352211,"NP",8.141716280629
"59","SQR",1.713352211,"NH4",2.18210882839747e-05
"60","SQR",1.713352211,"SRP",2.68015827767077e-06
"61","SQR",1.819457317,"NP",9.48232967621219
"62","SQR",1.819457317,"NH4",2.80384407915997e-05
"63","SQR",1.819457317,"SRP",2.95691478244404e-06
"64","SQR",1.149886849,"NP",9.2950883557176
"65","SQR",1.149886849,"NH4",1.38340354434638e-05
"66","SQR",1.149886849,"SRP",1.48831672320298e-06
"67","SQR",2.159409528,"NP",11.0876845198445
"68","SQR",2.159409528,"NH4",1.33289855734565e-05
"69","SQR",2.159409528,"SRP",1.20214329237097e-06
"70","SQR",1.841700058,"NP",9.38432887050608
"71","SQR",1.841700058,"NH4",2.41307658637701e-05
"72","SQR",1.841700058,"SRP",2.57138962165003e-06
"73","SQR",1.41245214,"NP",18.4111076316936
"74","SQR",1.41245214,"NH4",2.68302329697952e-05
"75","SQR",1.41245214,"SRP",1.45728510780137e-06
"76","SQR",1.484725237,"NP",8.19210677233109
"77","SQR",1.484725237,"NH4",1.96987611538832e-05
"78","SQR",1.484725237,"SRP",2.4046025889721e-06
"79","SQR",2.176728331,"NP",9.09056035159693
"80","SQR",2.176728331,"NH4",3.27758504851203e-05
"81","SQR",2.176728331,"SRP",3.60548186442243e-06
"82","SQR",1.369689463,"NP",15.6143370085586
"83","SQR",1.369689463,"NH4",3.31439850376706e-05
"84","SQR",1.369689463,"SRP",2.12266361482421e-06
"85","SQR",1.491758503,"NP",16.1409858085033
"86","SQR",1.491758503,"NH4",1.2704623783951e-05
"87","SQR",1.491758503,"SRP",7.87103336480104e-07
