pop,FV3,ind,nacl,mass_g,svl,stage,viralload,nutrient,value,HazardRatio,scalenutrient
RRD,CTRL,103,250,0.1249,9.02,33,0,NH4,2.763712755,25.5113192,1.562919388
RRD,CTRL,103,250,0.1249,9.02,33,0,NP,6.283333598,25.5113192,0.64029081
RRD,CTRL,103,250,0.1249,9.02,33,0,SRP,0.439848165,25.5113192,0.349310764
RRD,CTRL,88,0,0.1596,9.95,32,0,NH4,1.927838869,25.5113192,0.203528855
RRD,CTRL,88,0,0.1596,9.95,32,0,NP,4.285522548,25.5113192,-0.634455647
RRD,CTRL,88,0,0.1596,9.95,32,0,SRP,0.449849195,25.5113192,0.395173468
RRD,CTRL,118,500,0.1906,9.53,34,0,NH4,2.126722555,25.5113192,0.526975496
RRD,CTRL,118,500,0.1906,9.53,34,0,NP,7.322557333,25.5113192,1.303389943
RRD,CTRL,118,500,0.1906,9.53,34,0,SRP,0.290434401,25.5113192,-0.335870598
RRD,CTRL,146,1000,0.1498,9.88,33,NA,NH4,1.446706482,25.5113192,-0.578941831
RRD,CTRL,146,1000,0.1498,9.88,33,NA,NP,6.096902421,25.5113192,0.521334374
RRD,CTRL,146,1000,0.1498,9.88,33,NA,SRP,0.237285491,25.5113192,-0.579600774
RRD,CTRL,102,250,0.1407,9.58,28,32113.21096,NH4,3.003865145,25.5113192,1.953481758
RRD,CTRL,102,250,0.1407,9.58,28,32113.21096,NP,4.80086827,25.5113192,-0.305628187
RRD,CTRL,102,250,0.1407,9.58,28,32113.21096,SRP,0.625692057,25.5113192,1.201553339
RRD,CTRL,87,0,0.1916,9.55,35,2491.145259,NH4,2.224700818,25.5113192,0.686318579
RRD,CTRL,87,0,0.1916,9.55,35,2491.145259,NP,9.080622246,25.5113192,2.425161203
RRD,CTRL,87,0,0.1916,9.55,35,2491.145259,SRP,0.244994314,25.5113192,-0.544249666
RRD,CTRL,131,750,0.1489,9.19,33,1699.601634,NH4,1.35585778,25.5113192,-0.726690035
RRD,CTRL,131,750,0.1489,9.19,33,1699.601634,NP,3.538934156,25.5113192,-1.110832484
RRD,CTRL,131,750,0.1489,9.19,33,1699.601634,SRP,0.383126026,25.5113192,0.089194483
RRD,CTRL,101,250,0.0963,8.59,33,652.8434174,NH4,1.855431849,25.5113192,0.085772553
RRD,CTRL,101,250,0.0963,8.59,33,652.8434174,NP,4.871522957,25.5113192,-0.260545439
RRD,CTRL,101,250,0.0963,8.59,33,652.8434174,SRP,0.380873059,25.5113192,0.07886283
RRD,CTRL,117,500,0.2328,10.61,35,0,NH4,2.554361023,25.5113192,1.222448455
RRD,CTRL,117,500,0.2328,10.61,35,0,NP,8.293168298,25.5113192,1.922709217
RRD,CTRL,117,500,0.2328,10.61,35,0,SRP,0.30800786,25.5113192,-0.255282262
RRD,CTRL,133,750,0.225,10.71,32,NA,NH4,3.16336585,25.5113192,2.21287944
RRD,CTRL,133,750,0.225,10.71,32,NA,NP,6.572816751,25.5113192,0.825001784
RRD,CTRL,133,750,0.225,10.71,32,NA,SRP,0.481280092,25.5113192,0.539309216
RRD,CTRL,147,1000,0.1577,9.81,35,0,NH4,1.784394424,25.5113192,-0.029756362
RRD,CTRL,147,1000,0.1577,9.81,35,0,NP,7.047262786,25.5113192,1.127732316
RRD,CTRL,147,1000,0.1577,9.81,35,0,SRP,0.2532039,25.5113192,-0.50660216
RRD,CTRL,132,750,0.1539,9.26,31,0,NH4,2.335749226,25.5113192,0.866917779
RRD,CTRL,132,750,0.1539,9.26,31,0,NP,4.939937979,25.5113192,-0.216891758
RRD,CTRL,132,750,0.1539,9.26,31,0,SRP,0.472829666,25.5113192,0.50055727
RRD,CTRL,116,500,0.1796,9.92,34,0,NH4,2.471079359,25.5113192,1.087006605
RRD,CTRL,116,500,0.1796,9.92,34,0,NP,11.00524234,25.5113192,3.653206593
RRD,CTRL,116,500,0.1796,9.92,34,0,SRP,0.224536569,25.5113192,-0.638064754
RRD,CTRL,86,0,0.1676,9.8,31,656.3444559,NH4,1.801457874,25.5113192,-0.002005892
RRD,CTRL,86,0,0.1676,9.8,31,656.3444559,NP,4.751222944,25.5113192,-0.337305459
RRD,CTRL,86,0,0.1676,9.8,31,656.3444559,SRP,0.379156671,25.5113192,0.070991822
RRD,CTRL,148,1000,0.1727,9.36,32,NA,NH4,2.287670276,25.5113192,0.788726475
RRD,CTRL,148,1000,0.1727,9.36,32,NA,NP,5.544219064,25.5113192,0.16868283
RRD,CTRL,148,1000,0.1727,9.36,32,NA,SRP,0.412622634,25.5113192,0.224459975
RRD,RV,93,250,0.1918,10.28,35,42418.15353,NH4,2.042500553,25.5113192,0.390004362
RRD,RV,93,250,0.1918,10.28,35,42418.15353,NP,5.196663884,25.5113192,-0.053082253
RRD,RV,93,250,0.1918,10.28,35,42418.15353,SRP,0.393040727,25.5113192,0.134661301
RRD,RV,136,1000,0.1766,9.82,33,18918.01715,NH4,1.245656112,25.5113192,-0.905912172
RRD,RV,136,1000,0.1766,9.82,33,18918.01715,NP,4.389961767,25.5113192,-0.56781595
