"","site","species","X.","nanodrop","avg.sq","conversion..200","FV3.load","log.load.FV3","Site.type","SRP..ppb.","NH3.N..ppb.","Chloride..ppm.","Sulfate..ppm.","fish","large_fish"
"1","CAP","T",12,41.874,15.65906817,3131.813635,74.7913654,1.873851462,"Urban",7.829,5.552,3.3481,0.8912,0,0
"2","CAP","T",10,250.981,0,0,0,0,"Urban",7.829,5.552,3.3481,0.8912,0,0
"3","CAP","T",3,266.616,0,0,0,0,"Urban",7.829,5.552,3.3481,0.8912,0,0
"4","CAP","T",8,473.076,14.83838556,2967.677113,6.273150852,0.797485731,"Urban",7.829,5.552,3.3481,0.8912,0,0
"5","CAP","T",13,404.316,52932.21367,10586442.73,26183.58594,4.418029125,"Urban",7.829,5.552,3.3481,0.8912,0,0
"12","DC5","T",58,38.075,6.636477869,1327.295574,34.8600282,1.542327734,"Rural",167.145,30.667,9.0637,1.7135,1,0
"13","DC5","T",55,1012.558,31.65502301,6331.004602,6.252485885,0.79605272,"Rural",167.145,30.667,9.0637,1.7135,1,0
"15","DC5","T",52,273.531,9.141860827,1828.372165,6.684332545,0.825058048,"Rural",167.145,30.667,9.0637,1.7135,1,0
"16","DC5","T",56,362.845,10.28800162,2057.600324,5.670741843,0.753639877,"Rural",167.145,30.667,9.0637,1.7135,1,0
"17","DC5","T",57,236.469,0,0,0,0,"Rural",167.145,30.667,9.0637,1.7135,1,0
"18","DC6","T",22,158.837,5.922677559,1184.535512,7.457554045,0.872596409,"Rural",124.006,17.982,15.9103,4.5452,1,0
"19","DC6","T",25,154.441,9.478825643,1895.765129,12.275012,1.089021925,"Rural",124.006,17.982,15.9103,4.5452,1,0
"20","DC6","T",21,189.697,231.3048044,46260.96087,243.8676461,2.387154186,"Rural",124.006,17.982,15.9103,4.5452,1,0
"21","DC6","T",26,87.949,69191.44144,13838288.29,157344.4643,5.196851468,"Rural",124.006,17.982,15.9103,4.5452,1,0
"23","DC7","T",32,99.863,15.04751238,3009.502475,30.1363115,1.479090096,"Rural",92.091,10.151,26.2921,8.8704,1,0
"24","DC7","T",29,59.895,19.36140834,3872.281667,64.65116733,1.810576371,"Rural",92.091,10.151,26.2921,8.8704,1,0
"25","DC7","T",30,69.867,0,0,0,0,"Rural",92.091,10.151,26.2921,8.8704,1,0
"26","DC7","T",40,50.468,0,0,0,0,"Rural",92.091,10.151,26.2921,8.8704,1,0
"27","DC7","T",43,149.131,0,0,0,0,"Rural",92.091,10.151,26.2921,8.8704,1,0
"34","DCW","T",183,407.671,14.91391412,2982.782825,7.316642157,0.864311815,"Rural",78.625,57.442,11.4409,3.9879,1,0
"35","DCW","T",182,203.996,277471536.1,55494307222,272036251.8,8.434626782,"Rural",78.625,57.442,11.4409,3.9879,1,0
"43","DOBA14","T",213,48.284,2.2000979,440.0195801,9.113155084,0.959668761,"Urban",16.853,40.43,10.2976,2.5473,1,0
"44","DOBA14","T",211,664.865,9010328.278,1802065656,2710423.403,6.433037138,"Urban",16.853,40.43,10.2976,2.5473,1,0
"45","DOBA14","T",203,78.534,10.44862113,2089.724227,26.6091658,1.42503126,"Urban",16.853,40.43,10.2976,2.5473,1,0
"46","DOBA14","T",208,571.392,260818.4589,52163691.79,91292.30334,4.960434165,"Urban",16.853,40.43,10.2976,2.5473,1,0
"47","DOBA14","T",206,178.762,26.51010734,5302.021468,29.65966742,1.472166277,"Urban",16.853,40.43,10.2976,2.5473,1,0
"50","DOBA22","T",169,749.53,7.932181935,1586.436387,2.116574903,0.325633642,"Urban",63.321,265.884,4.013,1.4902,0,0
"51","DOBA22","T",159,120.071,12.10753592,2421.507185,20.16729422,1.304647634,"Urban",63.321,265.884,4.013,1.4902,0,0
"53","DOBA22","T",158,119.237,24938487.31,4987697462,41830115.34,7.621489062,"Urban",63.321,265.884,4.013,1.4902,0,0
"54","DOBA22","T",163,811.598,0,0,0,0,"Urban",63.321,265.884,4.013,1.4902,0,0
