concentration,plaques,salt,chloride,trial
0,6,NaCl,0,2
0,4,NaCl,0,2
0,6,NaCl,0,3
0,10,NaCl,0,3
0,5,NaCl,0,3
0,NA,NaCl,0,2
250,13,NaCl,151.6512663,2
250,8,NaCl,151.6512663,2
250,12,NaCl,151.6512663,2
250,5,NaCl,151.6512663,3
250,5,NaCl,151.6512663,3
250,5,NaCl,151.6512663,3
500,11,NaCl,303.3025325,2
500,8,NaCl,303.3025325,2
500,9,NaCl,303.3025325,3
500,8,NaCl,303.3025325,3
500,9,NaCl,303.3025325,3
500,NA,NaCl,303.3025325,2
750,15,NaCl,454.9537988,2
750,9,NaCl,454.9537988,2
750,6,NaCl,454.9537988,2
750,7,NaCl,454.9537988,3
750,8,NaCl,454.9537988,3
750,6,NaCl,454.9537988,3
1000,15,NaCl,606.605065,2
1000,17,NaCl,606.605065,2
1000,23,NaCl,606.605065,2
1000,9,NaCl,606.605065,3
1000,10,NaCl,606.605065,3
1000,NA,NaCl,606.605065,3
2000,26,NaCl,1213.21013,2
2000,23,NaCl,1213.21013,2
2000,17,NaCl,1213.21013,2
2000,17,NaCl,1213.21013,3
2000,9,NaCl,1213.21013,3
2000,NA,NaCl,1213.21013,3
3000,7,NaCl,1819.815195,2
3000,9,NaCl,1819.815195,2
3000,12,NaCl,1819.815195,2
3000,6,NaCl,1819.815195,3
3000,NA,NaCl,1819.815195,3
3000,NA,NaCl,1819.815195,3
0,23,NaCl,0,1
0,24,NaCl,0,1
0,29,NaCl,0,1
250,23,NaCl,151.6512663,1
250,23,NaCl,151.6512663,1
250,18,NaCl,151.6512663,1
500,27,NaCl,303.3025325,1
500,24,NaCl,303.3025325,1
500,10,NaCl,303.3025325,1
750,20,NaCl,454.9537988,1
750,25,NaCl,454.9537988,1
750,14,NaCl,454.9537988,1
1000,24,NaCl,606.605065,1
1000,26,NaCl,606.605065,1
1000,13,NaCl,606.605065,1
2000,39,NaCl,1213.21013,1
2000,28,NaCl,1213.21013,1
2000,22,NaCl,1213.21013,1
3000,25,NaCl,1819.815195,1
3000,22,NaCl,1819.815195,1
3000,19,NaCl,1819.815195,1
0,12,MgCl,0,1
0,12,MgCl,0,1
0,13,MgCl,0,1
0,13,MgCl,0,3
0,13,MgCl,0,3
0,14,MgCl,0,3
250,11,MgCl,151.6512663,1
250,15,MgCl,151.6512663,1
250,11,MgCl,151.6512663,1
250,18,MgCl,151.6512663,3
250,19,MgCl,151.6512663,3
250,20,MgCl,151.6512663,3
500,10,MgCl,303.3025325,1
500,10,MgCl,303.3025325,1
500,9,MgCl,303.3025325,1
500,20,MgCl,303.3025325,3
500,26,MgCl,303.3025325,3
500,20,MgCl,303.3025325,3
750,15,MgCl,454.9537988,1
750,14,MgCl,454.9537988,1
750,9,MgCl,454.9537988,1
750,16,MgCl,454.9537988,3
750,21,MgCl,454.9537988,3
750,21,MgCl,454.9537988,3
1000,28,MgCl,606.605065,1
1000,25,MgCl,606.605065,1
1000,19,MgCl,606.605065,1
1000,6,MgCl,606.605065,3
1000,9,MgCl,606.605065,3
1000,18,MgCl,606.605065,3
2000,8,MgCl,1213.21013,1
2000,7,MgCl,1213.21013,1
2000,6,MgCl,1213.21013,1
2000,10,MgCl,1213.21013,3
2000,12,MgCl,1213.21013,3
2000,11,MgCl,1213.21013,3
3000,3,MgCl,1819.815195,1
3000,9,MgCl,1819.815195,1
3000,6,MgCl,1819.815195,3
3000,13,MgCl,1819.815195,3
3000,12,MgCl,1819.815195,3
3000,NA,MgCl,1819.815195,1
0,4,MgCl,0,2
0,8,MgCl,0,2
0,6,MgCl,0,2
250,7,MgCl,151.6512663,2
250,8,MgCl,151.6512663,2
250,4,MgCl,151.6512663,2
500,2,MgCl,303.3025325,2
500,5,MgCl,303.3025325,2
500,5,MgCl,303.3025325,2
750,4,MgCl,454.9537988,2
750,2,MgCl,454.9537988,2
750,6,MgCl,454.9537988,2
1000,10,MgCl,606.605065,2
1000,1,MgCl,606.605065,2
1000,3,MgCl,606.605065,2
2000,3,MgCl,1213.21013,2
2000,6,MgCl,1213.21013,2
2000,3,MgCl,1213.21013,2
3000,3,MgCl,1819.815195,2
3000,4,MgCl,1819.815195,2
3000,1,MgCl,1819.815195,2
