concentration,plaques,salt,chloride
0,6,NaCl,0
0,4,NaCl,0
0,6,NaCl,0
0,10,NaCl,0
0,5,NaCl,0
0,NA,NaCl,0
250,13,NaCl,151.6512663
250,8,NaCl,151.6512663
250,12,NaCl,151.6512663
250,5,NaCl,151.6512663
250,5,NaCl,151.6512663
250,5,NaCl,151.6512663
500,11,NaCl,303.3025325
500,8,NaCl,303.3025325
500,9,NaCl,303.3025325
500,8,NaCl,303.3025325
500,9,NaCl,303.3025325
500,NA,NaCl,303.3025325
750,15,NaCl,454.9537988
750,9,NaCl,454.9537988
750,6,NaCl,454.9537988
750,7,NaCl,454.9537988
750,8,NaCl,454.9537988
750,6,NaCl,454.9537988
1000,15,NaCl,606.605065
1000,17,NaCl,606.605065
1000,23,NaCl,606.605065
1000,9,NaCl,606.605065
1000,10,NaCl,606.605065
1000,NA,NaCl,606.605065
2000,26,NaCl,1213.21013
2000,23,NaCl,1213.21013
2000,17,NaCl,1213.21013
2000,17,NaCl,1213.21013
2000,9,NaCl,1213.21013
2000,NA,NaCl,1213.21013
3000,7,NaCl,1819.815195
3000,9,NaCl,1819.815195
3000,12,NaCl,1819.815195
3000,6,NaCl,1819.815195
3000,NA,NaCl,1819.815195
3000,NA,NaCl,1819.815195
