population,mass_g,FV3
SEW,0.2369,RV
SEW,0.2418,RV
SEW,0.2924,RV
SQR,0.3043,RV
SQR,0.3519,RV
SQR,0.3656,RV
MIN,0.289,RV
MIN,0.2471,RV
MIN,0.2733,RV
STB,0.2875,RV
STB,0.3513,RV
STB,0.286,RV
TRL,0.2636,RV
TRL,0.2296,RV
TRL,0.268,RV
RR,0.3854,RV
RR,0.207,RV
RR,0.2869,RV
Chorus,0.0364,RV
Chorus,0.0322,RV
Chorus,0.0383,RV
Toad,0.042,RV
Toad,0.0314,RV
Toad,0.0354,RV
Pickerel ,0.9714,RV
Pickerel ,0.4793,RV
Pickerel ,0.7334,RV
SEW ,0.2315,CTRL
SEW ,0.352,CTRL
SEW ,0.2548,CTRL
MIN,0.2836,CTRL
MIN,0.3184,CTRL
MIN,0.3882,CTRL
RR,0.2652,CTRL
RR,0.247,CTRL
RR,0.2286,CTRL
TRL,0.3085,CTRL
TRL,0.4129,CTRL
TRL,0.316,CTRL
SQR,0.3516,CTRL
SQR,0.2818,CTRL
SQR,0.3727,CTRL
STB,0.3023,CTRL
STB,0.2418,CTRL
STB,0.3103,CTRL
Toad ,0.0254,CTRL
Toad ,0.0547,CTRL
Toad ,0.0565,CTRL
Chorus,0.017,CTRL
Chorus,0.1001,CTRL
Pickerel,0.4432,CTRL
Pickerel,0.6542,CTRL
Pickerel,0.6505,CTRL
