ind,species,population,FV3,surviral,death_hr,svl_mm,mass_g,gosner_stage,notes,nucleic_acid_ng_uL,A260/A280,A260/A230,Cq1 ,Cq2,SQ1,SQ2
1,Pickerel ,Pickerel ,RV,1,,13.07,0.3965,31,Euthanized,223.156,1.907,1.331,29.95115223,30.07722116,2421.342526,2225.42205
2,Pickerel ,Pickerel ,RV,0,186,15.89,0.8611,33,,97.866,1.927,1.032,14.41355139,14.36825329,79486794.24,81933509.54
6,Pickerel ,Pickerel ,RV,0,180,11.86,0.3203,29,,93.566,1.945,1.248,14.86201956,14.87292471,58876355.9,58448204.58
59,Pickerel ,Pickerel ,RV,0,218,15.21,0.6912,33,,61.917,1.799,0.632,18.86,18.34137686,10112440.5,14186426.59
64,Pickerel ,Pickerel ,RV,0,192,13.44,0.5121,29,Liquid Liver,26.802,1.909,0.532,18.20565411,17.52736935,6281494.088,9890464.367
82,Pickerel ,Pickerel ,RV,0,289,14.02,0.4715,33,,429.569,1.947,1.44,25.10235132,25.17643926,62148.91797,59142.37893
104,Pickerel ,Pickerel ,RV,0,192,11.98,0.3084,27, ,88.544,1.892,0.964,14.02258237,14.19457988,103260932.4,92032742.57
115,Pickerel ,Pickerel ,RV,0,144,10.12,0.2011,26,,138.58,1.908,1.436,14.58735475,14.80260981,70758139.23,61264552.32
123,Pickerel ,Pickerel ,RV,1,,11.13,0.2122,28,Euthanized,185.286,1.929,1.522,28.57557848,28.69368841,6079.775586,5617.681492
195,Pickerel ,Pickerel ,RV,1,,10.94,0.2309,28,Euthanized,228.406,1.95,1.588,29.81808683,29.40709287,2646.876642,3484.940058
199,Pickerel ,Pickerel ,RV,1,,12.76,0.4762,34,Euthanized,363.475,1.997,1.81,29.00863931,28.83,4550.004955,5118.982624
202,Pickerel ,Pickerel ,RV,1,,15.66,0.5641,35,Euthanized ,320.876,1.98,1.743,29.49875862,29.36084986,3277.564721,3594.483898
218,Pickerel ,Pickerel ,RV,1,,13.37,0.4565,28,Euthanized - Liquid Liver,135.954,1.919,0.935,14.33955077,14.42276066,83522672.13,78998376.69
243,Pickerel ,Pickerel ,RV,1,,13.61,0.4144,34,Euthanized,386.743,1.908,1.392,27.2152056,27.80635174,15111.25415,10173.60662
245,Pickerel ,Pickerel ,RV,0,198,13.86,0.6051,33,,193.452,2.034,1.666,14.0432578,14.31352824,101841881.9,84990077.15
272,Pickerel ,Pickerel ,RV,1,,,,,Euthanized - missing sample,,,,,,,
31,Chorus,Chorus,RV,0,128,6.42,0.0755,33,,96.793,1.98,1.21,28.59100968,29.07963768,17704.18733,12871.94157
50,Chorus,Chorus,RV,1,,6.33,0.0793,36,Euthanized,133.284,1.959,1.29,25.40891094,26.01110114,50620.61067,33829.19672
60,Chorus,Chorus,RV,1,,7.61,0.1151,37,Euthanized,138.729,1.913,1.05,28.27175975,28.10400197,7450.699704,8336.013295
61,Chorus,Chorus,RV,1,,7.54,0.1084,37,Euthanized,149.195,1.939,1.208,28.8687653,29.27541619,4996.528463,3806.003053
65,Chorus,Chorus,RV,1,,7.46,0.099,36,Euthanized,116.872,1.939,1.173,27.49372164,27.54423351,12541.38815,12124.49251
89,Chorus,Chorus,RV,1,,6.52,0.0667,34,Euthanized,90.647,1.934,1.038,26.67355294,26.37757409,21714.01081,26471.02635
96,Chorus,Chorus,RV,1,,7.53,0.0907,35,Euthanized,68.078,1.957,1.02,29.39599381,29.35885495,10471.72001,10728.51806
103,Chorus,Chorus,RV,0,40,5.58,0.0632,31,,56.967,1.955,0.897,29.23639918,29.45831547,3906.699594,3367.492893
