ind,Population,FV3,TTD_Hr,SVL_mm,TTD_Mass_g,Stage ,Nucleic Acid_ng_uL,SQ1,SQ2,NH4_ugL,SRP_ugL,Avg Mass Extra Individuals (g) ,Notes
24,TRL ,Y,140,11.08,0.2268,35,105.74,216287375,250492904,98.682,33.436,0.253733333,
52,TRL ,Y,128,9.78,0.1715,32,90.35,442888213,372740241,55.741,13.115,0.253733333,
69,TRL,Y,128,11.84,0.2597,35,14.37,1185492,1390283,61.498,18.665,0.253733333,
76,TRL ,Y,130,NA,NA,NA,NA,NA,NA,98.642,21.79,0.253733333,Missing Sample
136,TRL ,Y,130,10.37,0.224,33,43.6,53048054,50659291,108.028,19.276,0.253733333,
165,TRL ,Y,138,10.63,0.2394,35,90.57,376405698,380478645,193.163,22.247,0.253733333,
181,TRL ,Y,136,9.45,0.1714,34,81.9,125351185,134946523,110.52,14.948,0.253733333,
220,TRL ,Y,128,7.02,0.0802,28,32.88,69730610,90619964,43.535,6.926,0.253733333,
229,TRL ,Y,142,9.5,0.1938,35,94.78,634948748,567884751,70.813,6.367,0.253733333,
258,TRL ,Y,128,10.67,0.2337,35,154.53,1731201932,1538260597,102.86,9.511,0.253733333,
27,STB,Y,128,8.12,0.1212,32,86.18,102554841,91398540,68.308,9.23,0.308266667,
56,STB,Y,128,10.05,0.2335,33,144.9,180569224,197653382,186.441,38.863,0.308266667,
128,STB,Y,138,10.07,0.2093,31,72.25,32695472,31052215,180.12,36.972,0.308266667,
179,STB,Y,128,9.66,0.1961,34,186,1820453525,1436931390,152.613,33.796,0.308266667,
188,STB,Y,146,10.39,0.2405,35,150.67,190513415,193883883,195.205,26.598,0.308266667,
230,STB,Y,142,10.65,0.3055,36,212.85,91279063,83270207,267.189,44.741,0.308266667,
233,STB,Y,144,10.8,0.287,36,121.55,36522025,35467245,210.645,35.336,0.308266667,
252,STB,Y,128,10.49,0.223,33,115.65,289954110,298819531,193.846,26.588,0.308266667,
259,STB,Y,130,8.49,0.1878,31,64.3,23742391,21533662,128.696,27.392,0.308266667,
275,STB,Y,128,10.97,0.3982,35,102.28,65230793,52854472,97.265,17.776,0.308266667,
8,SEW,Y,152,10.01,0.2098,34,91.56,597379866,667838559,96.677,14.566,0.257033333,
41,SEW,Y,132,8.61,0.175,33,38.18,54712785,52937807,149.168,19.565,0.257033333,
47,SEW,Y,128,9.32,0.2061,35,68.8,37151561,37561867,133.032,9.502,0.257033333,
125,SEW,Y,128,9.46,0.1944,34,139.34,628784579,710574722,62.378,5.481,0.257033333,
134,SEW,Y,144,10.01,0.1835,34,77.89,77879043,86954759,86.772,21.745,0.257033333,
137,SEW,Y,152,10.37,0.2084,34,107.06,146929794,178104408,112.1625,17.39,0.257033333,
145,SEW,Y,144,9.72,0.1817,33,63.27,31455664,32535357,127.654,19.955,0.257033333,
162,SEW,Y,128,8.93,0.1449,33,67.97,352553043,332112121,89.109,19.355,0.257033333,
222,SEW,Y,122,8.36,0.1319,31,47.85,25218845,31029735,81.6795,12.6315,0.257033333,
246,SEW,Y,136,8.53,0.1591,35,99.76,270180947,255510150,102.639,14.017,0.257033333,
3,MIN,Y,144,10.72,0.2652,35,198.42,1367281077,581485307,206.641,30.715,0.2698,
16,MIN,Y,134,11.3,0.322,35,251.3,415173840,1276039163,213.896,27.657,0.2698,
32,MIN,Y,128,11.03,0.2874,34,78.03,193618878,197337463,198.425,34.714,0.2698,
58,MIN,Y,146,10.9,0.2857,36,174.2,97806572,87449265,193.775,28.153,0.2698,
66,MIN,Y,140,10.28,0.2608,33,83.72,30616861,33303331,217.269,24.564,0.2698,
107,MIN,Y,144,9.8,0.2064,34,9.94,24724951,31266160,118.2185,21.6005,0.2698,
154,MIN,Y,138,10.03,0.1874,31,33.94,3182788,2681922,131.794,22.152,0.2698,
158,MIN,Y,144,11.31,0.2622,33,83.24,32468536,32863478,202.919,28.426,0.2698,
205,MIN,Y,152,11.97,0.3317,31,33.66,1102871,1104806,246.206,28.99,0.2698,
217,MIN,Y,128,9.52,0.2169,33,39.08,290660281,257729534,52.836,16.69,0.2698,
29,RR,Y,158,10.4,0.1715,33,8.02,5288326,6011890,176.145,53.993,0.2931,
45,RR,Y,154,10.63,0.2138,33,85.53,86044403,107493092,113.022,27.311,0.2931,
135,RR,Y,136,10.75,0.2323,35,94.6,490162901,347917895,200.067,32.094,0.2931,
177,RR,Y,128,10.33,0.1692,34,41.8,402719311,396058711,111.167,16.017,0.2931,
183,RR,Y,144,9.59,0.1723,33,41.23,30977546,32730134,113.019,20.532,0.2931,
197,RR,Y,174,NA,NA,NA,NA,NA,NA,215.367,52.735,0.2931,Missing Sample
221,RR,Y,138,10.75,0.2524,33,136.3,1177571748,705143282,209.026,57.828,0.2931,
234,RR,Y,152,10.47,0.2215,35,106.75,282788670,228379127,75.855,8.069,0.2931,
262,RR,Y,140,9.86,0.1791,32,8.88,935822,1217872,150.78,36.113,0.2931,
266,RR,Y,128,9.88,0.179,31,30.35,14201383,13666941,55.706,22.485,0.2931,
21,SQR,Y,142,9.11,0.1936,34,87.66,254660834,241387059,156.189,42.407,0.3406,
48,SQR,Y,138,11.62,0.2812,34,48.57,63054385,65579157,200.691,46.786,0.3406,
80,SQR,Y,150,11.11,0.2512,34,174.94,444158043,467576780,99.02,23.549,0.3406,
116,SQR,Y,136,10.62,0.2704,35,24.75,12974880,14690499,95.405,19.021,0.3406,
131,SQR,Y,128,11.3,0.3316,35,56.65,4459755,4302923,172.721,40.686,0.3406,
168,SQR,Y,164,11.03,0.3436,36,122.1,58947169,45507899,192.043,23.058,0.3406,
173,SQR,Y,150,10.58,0.242,35,105.26,43554933,42788205,140.998,38.047,0.3406,
192,SQR,Y,142,9.15,0.136,31,86.2,245481808,232082166,90.936,12.454,0.3406,
268,SQR,Y,158,10.6,0.2777,31,25.67,5973102,5304101,234.6,57.048,0.3406,
269,SQR,Y,160,10.32,0.2739,33,117.32,206948601,172534976,237.235,33.586,0.3406,
15,TRL,N,289,0.2716,13.62,38,191.3,NA,NA,265.344,41.215,0.3458,no qPCR
22,TRL,N,289,0.4021,14.74,36,148.9,NA,NA,224.544,29.02,0.3458,no qPCR
79,TRL,N,289,0.4142,13.73,39,167.3,NA,NA,248.059,38.134,0.3458,no qPCR
113,TRL,N,289,0.2511,12.7,35,173.2,NA,NA,213.815,49.21,0.3458,no qPCR
263,TRL,N,289,0.3902,15.49,40,147.8,NA,NA,254.935,30.934,0.3458,no qPCR
51,STB,N,289,14.9,0.2617,44,86.9,181.34777,270.16749,220.543,43.961,0.2848,
94,STB,N,289,12.67,0.2581,38,304.1,692.01117,1226.06497,237.707,44.379,0.2848,
106,STB,N,289,13.89,0.4136,39,492.6,42.73385,147.75228,208.863,31.275,0.2848,
149,STB,N,289,13.41,0.2235,44,312.1,1399.02905,1803.94678,285.912,43.359,0.2848,
267,STB,N,289,14.49,0.376,38,255.4,135.06189,249.81818,213.911,71.832,0.2848,
33,SEW,N,289,12.72,0.2415,36,144.8,997.23873,622.30532,74.206,17.601,0.279433333,
44,SEW,N,289,13.63,0.2351,40,321.8,NA,NA,134.202,28.722,0.279433333,no qPCR
122,SEW,N,289,14.06,0.3801,39,865.4,1245.61544,963.1275,210.588,39.906,0.279433333,
147,SEW,N,289,14.28,0.3895,37,221.6,45.09826,1269.191,151.372,19.153,0.279433333,
166,SEW,N,289,14.31,0.3746,41,178.9,295.59776,304.21968,254.299,31.334,0.279433333,
114,MIN,N,289,14.4,0.3995,39,375.3,2147.30509,2014.7542,219.862,24.628,0.330066667,
227,MIN,N,289,14.74,0.4384,39,282.9,606.09158,305.65414,207.341,8.248,0.330066667,
249,MIN,N,289,14.26,0.3551,39,213.4,880.4834,,213.224,23.33,0.330066667,
256,MIN,N,289,15.53,0.4881,40,284.3,448.81724,504.13344,182.226,40.47,0.330066667,
270,MIN,N,289,14.2,0.3154,37,217.9,258.55099,2014.7542,165.575,27.099,0.330066667,
20,RR,N,289,16.68,0.4426,40,865,229.48279,279.20068,184.942,25.423,0.246933333,
43,RR,N,289,15.15,0.4225,39,342.9,1199.5545,899.51025,248.994,44.106,0.246933333,
112,RR,N,289,14.38,0.4126,40,253.2,539.13308,472.03646,213.214,40.722,0.246933333,
132,RR,N,289,15.76,0.4768,40,283.4,139826.6327,129905.6553,277.7025,60.572,0.246933333,
170,RR,N,289,13.26,0.3586,40,221.4,221481.3907,191392.2652,255.386,33.864,0.246933333,
38,SQR,N,289,15.49,0.3902,,190.7,201.27703,551.82041,129.212,20.317,0.335366667,
119,SQR,N,289,12.18,0.2502,34,118.3,50.908,194.91776,182.288,24.603,0.335366667,
127,SQR,N,289,13.45,0.3532,38,281.3,38.49937,82.79662,210.702,25.678,0.335366667,
164,SQR,N,289,15.71,0.4305,38,289.6,292.26721,174.45154,161.069,58.629,0.335366667,
260,SQR,N,289,13.26,0.2781,41,233.3,56.46498,126.36822,276.727,75.177,0.335366667,
