ind,susc,pop,nacl,FV3,mass_g,stage,svl_mm,ng/uL,260/280,260/230,Cq1,Cq2,SQ1,SQ2,notes
1,Tolerant,SEWC,0 g/L,RV,0.2141,37,10.17,120.1,1.92,1.21,25.38998958,25.18510819,86978.29964,99692.60922,
2,Tolerant,SEWC,0 g/L,RV,0.2352,35,10.44,162.6,1.83,0.93,30.10747894,29.64636843,3759.281894,5110.44647,
3,Tolerant,SEWC,0 g/L,RV,0.2346,37,10.94,188.5,1.84,0.9,27.89616116,28.07874127,16391.61672,14515.07585,
4,Tolerant,SEWC,0 g/L,RV,0.1183,31,8.74,57.3,1.84,0.83,NA,27.60761258,NA,19864.17522,
5,Tolerant,SEWC,0 g/L,RV,0.2202,37,10.79,497.8,1.66,0.66,27.65478739,27.4118308,19249.8567,22630.33396,
6,Tolerant,RRG,0 g/L,RV,0.199,34,10.61,178.5,1.81,0.86,26.30065404,26.59717055,47429.13351,38930.69046,
7,Tolerant,RRG,0 g/L,RV,0.1763,36,11.11,121,1.79,0.84,26.07598864,25.9153615,55083.15532,61301.69085,
8,Tolerant,RRG,0 g/L,RV,0.1313,32,9.54,83.4,1.91,1.08,25.8212665,25.97121455,65265.68309,59063.56482,
9,Tolerant,RRG,0 g/L,RV,0.1579,34,9.47,99.5,1.88,1.02,24.49098713,24.5742648,158271.9547,149733.8255,
10,Tolerant,RRG,0 g/L,RV,0.1392,31,9.39,92.6,1.91,1.08,28.09311335,27.51359927,14376.82152,21147.51525,
11,Tolerant,SEWC,0 g/L,CTRL,0.1341,29,9.09,56.299,1.949,1.096,NA,37.06599673,NA,20.09072144,
12,Tolerant,SEWC,0 g/L,CTRL,0.1197,30,8.77,61.9,1.82,0.74,33.28,33.24182592,453.3896915,466.2795494,
13,Tolerant,SEWC,0 g/L,CTRL,0.1004,28,8.36,67.381,2.055,1.462,36.13745068,36.62367005,34.61119194,26.03292225,
14,Tolerant,RRG,0 g/L,CTRL,0.1183,34,10.5,52.542,1.93,0.847,36.19556304,36.12829916,33.4528281,34.79723138,
15,Tolerant,RRG,0 g/L,CTRL,0.1489,34,9.56,77.833,2.027,1.142,36.10541226,33.92712165,35.26688428,126.3344121,
16,Tolerant,SEWC,0.25 g/L,RV,0.0997,26,8.27,9.4,1.78,0.33,28.38120722,28.77008525,9159.704119,11867.12828,
17,Tolerant,SEWC,0.25 g/L,RV,0.1438,31,9.21,53.5,1.82,0.85,31.50556081,31.901682,1138.199234,1481.757784,
18,Tolerant,SEWC,0.25 g/L,RV,0.2132,37,10.53,75.8,1.83,0.86,35.66233869,34.69059951,177.6881882,93.03147744,
19,Tolerant,SEWC,0.25 g/L,RV,0.1842,35,10,100.8,1.77,0.8,27.46203986,28.00601488,15235.3315,21886.20267,
20,Tolerant,SEWC,0.25 g/L,RV,0.2116,36,9.71,168.9,1.83,0.88,31.14050006,30.77712705,2406.808366,1889.528358,
21,Tolerant,RRG,0.25 g/L,RV,0.1643,34,9.69,104.1,1.8,0.82,29.22383866,29.17650673,6987.851317,6771.036867,
22,Tolerant,RRG,0.25 g/L,RV,0.1287,35,9.68,385.8,1.69,0.67,29.1942171,28.9992004,7863.591615,6905.923853,
23,Tolerant,RRG,0.25 g/L,RV,0.1575,36,9.78,82.8,1.76,0.79,26.31681489,26.2738145,48284.4434,46921.45196,
24,Tolerant,RRG,0.25 g/L,RV,0.1384,35,9.56,364.3,1.65,0.74,29.67090144,29.70175188,4925.403979,5027.636322,
25,Tolerant,RRG,0.25 g/L,RV,0.2,36,10.32,58.5,1.85,0.9,26.68870484,26.88895837,32055.79615,36628.59264,
26,Tolerant,SEWC,0.25 g/L,CTRL,0.1785,33,9.49,59.663,1.927,0.94,30.45236425,31.0406748,967.1545107,685.2205005,
27,Tolerant,SEWC,0.25 g/L,CTRL,0.2234,35,10.84,86.146,1.922,0.933,29.58604986,29.9050381,1606.516621,1332.707956,
28,Tolerant,SEWC,0.25 g/L,CTRL,0.1986,35,9.98,104.218,1.866,0.864,33.24904212,33.51077721,187.9421968,161.2275298,
29,Tolerant,RRG,0.25 g/L,CTRL,0.1611,34,9.73,66.441,1.885,0.874,30.88960265,31.72976944,748.6225859,457.6415853,
