ind,pop,NaCl,mass_g,svl_mm,stage,ng/uL ,260/280,260/230,Cq1,Cq2,SQ1,SQ2,
23,RR G,0 g/L,0.2379,9.66,36,132.20,1.89,0.91,,38.13,,1.71539,
24,RR G,0 g/L,0.1467,9.42,32,88.60,1.97,1.19,,,,,
25,RR G,0 g/L,0.1694,9.04,36,97.30,1.96,1.12,37.02,37.27,3.48082,2.98215,
26,RR G,0 g/L,0.2368,11.17,36,130.80,1.90,0.97,36.44,,5.07489,,
28,RR G,0 g/L,0.2702,11.34,35,125.50,1.88,0.95,38.15,39.70,1.69404,0.62960,
29,RR G,0 g/L,0.1533,9.41,33,68.70,2.00,1.19,34.43,36.86,18.36586,3.86301,
30,RR G,0 g/L,0.2136,10.2,32,164.80,1.94,1.28,32.89,37.01,49.13580,3.52109,
31,RR G,0 g/L,0.2418,10.95,37,145.10,1.88,0.92,18.21,36.34,591249.58957,5.38149,
33,RR G,0 g/L,0.2061,9.67,35,81.80,1.95,1.14,38.38,37.24,1.46003,3.02889,
34,RR G,0 g/L,0.1504,9.22,35,116.30,1.89,0.94,32.65,35.22,57.20188,11.07229,
35,RR G,0 g/L,0.2484,11.23,36,115.80,1.89,0.93,30.82,30.65,184.74634,206.12317,
36,RR G,0 g/L,0.2636,10.87,37,178.60,1.84,0.87,31.49,32.07,120.70965,82.82580,
39,RR G,0 g/L,0.3033,11.66,36,167.60,1.82,0.85,32.49,32.10,283.59617,356.64671,
40,RR G,0 g/L,0.2099,10.55,38,124.70,1.97,1.13,28.60,28.32,2919.26505,3460.47236,
41,RR G,0 g/L,0.1399,9.28,34,107.097,1.801,0.767,22.32,22.31,423872.23467,429021.51159,
42,RR G,0 g/L,0.1781,10.41,38,89.58,1.945,1.065,27.89,27.82,5188.53588,5497.13219,
45,RR A,0 g/L,0.1384,11.46,33,41.50,1.81,0.67,36.75,,37.00767,,
46,RR A,0 g/L,0.1115,10.74,33,34.70,1.83,0.62,37.51,,22.47098,,
47,RR A,0 g/L,0.0989,10.1,30,21.00,1.86,0.63,,38.98,,1.23951,
48,RR A,0 g/L,0.147,10.86,31,39.30,1.93,0.84,33.21,33.23,46.44575,45.79651,
50,RR A,0 g/L,0.1946,12.14,31,63.10,2.19,0.66,34.49,35.14,20.81668,13.80081,
51,RR A,0 g/L,0.1776,11.37,34,110.70,1.84,0.92,29.48,29.65,480.99524,431.19352,
52,RR A,0 g/L,0.0215,10.56,34,212.50,1.70,0.76,27.03,,2234.63968,,
53,RR A,0 g/L,0.1418,11.21,31,55.50,1.84,0.87,,19.38,,271268.49378,
55,RR A,0 g/L,0.1896,12.15,35,191.30,1.76,0.56,37.22,35.46,3.73586,11.32955,
56,RR A,0 g/L,0.1936,12.08,35,131.60,1.78,0.77,26.05,26.17,4125.16007,3823.04110,
