ind,susc,pop,NaCl,sample_day
23,Tolerant,RR G,0 g/L,Tuesday
24,Tolerant,RR G,0 g/L,Tuesday
25,Tolerant,RR G,0 g/L,Tuesday
26,Tolerant,RR G,0 g/L,Tuesday
45,Susceptible,RR A,0 g/L,Tuesday
46,Susceptible,RR A,0 g/L,Tuesday
47,Susceptible,RR A,0 g/L,Tuesday
48,Susceptible,RR A,0 g/L,Tuesday
67,Susceptible,RR D,0 g/L,Tuesday
68,Susceptible,RR D,0 g/L,Tuesday
69,Susceptible,RR D,0 g/L,Tuesday
70,Susceptible,RR D,0 g/L,Tuesday
111,Tolerant,RR G,0.25 g/L,Tuesday
112,Tolerant,RR G,0.25 g/L,Tuesday
113,Tolerant,RR G,0.25 g/L,Tuesday
114,Tolerant,RR G,0.25 g/L,Tuesday
133,Susceptible,RR A,0.25 g/L,Tuesday
134,Susceptible,RR A,0.25 g/L,Tuesday
135,Susceptible,RR A,0.25 g/L,Tuesday
136,Susceptible,RR A,0.25 g/L,Tuesday
155,Susceptible,RR D,0.25 g/L,Tuesday
156,Susceptible,RR D,0.25 g/L,Tuesday
157,Susceptible,RR D,0.25 g/L,Tuesday
158,Susceptible,RR D,0.25 g/L,Tuesday
199,Tolerant,RR G,0.5 g/L,Tuesday
200,Tolerant,RR G,0.5 g/L,Tuesday
201,Tolerant,RR G,0.5 g/L,Tuesday
202,Tolerant,RR G,0.5 g/L,Tuesday
221,Susceptible,RR A,0.5 g/L,Tuesday
222,Susceptible,RR A,0.5 g/L,Tuesday
223,Susceptible,RR A,0.5 g/L,Tuesday
224,Susceptible,RR A,0.5 g/L,Tuesday
243,Susceptible,RR D,0.5 g/L,Tuesday
244,Susceptible,RR D,0.5 g/L,Tuesday
245,Susceptible,RR D,0.5 g/L,Tuesday
246,Susceptible,RR D,0.5 g/L,Tuesday
288,Tolerant,RR G,0.75 g/L,Tuesday
289,Tolerant,RR G,0.75 g/L,Tuesday
290,Tolerant,RR G,0.75 g/L,Tuesday
291,Tolerant,RR G,0.75 g/L,Tuesday
310,Susceptible,RR A,0.75 g/L,Tuesday
311,Susceptible,RR A,0.75 g/L,Tuesday
312,Susceptible,RR A,0.75 g/L,Tuesday
313,Susceptible,RR A,0.75 g/L,Tuesday
332,Susceptible,RR D,0.75 g/L,Tuesday
333,Susceptible,RR D,0.75 g/L,Tuesday
334,Susceptible,RR D,0.75 g/L,Tuesday
335,Susceptible,RR D,0.75 g/L,Tuesday
375,Tolerant,RR G,1 g/L,Tuesday
377,Tolerant,RR G,1 g/L,Tuesday
378,Tolerant,RR G,1 g/L,Tuesday
379,Tolerant,RR G,1 g/L,Tuesday
397,Susceptible,RR A,1 g/L,Tuesday
399,Susceptible,RR A,1 g/L,Tuesday
400,Susceptible,RR A,1 g/L,Tuesday
401,Susceptible,RR A,1 g/L,Tuesday
