ind,Species,Population,FV3,TTD_Hr,SVL_mm,TTD_Mass_g,Stage ,Nucleic Acid_ng_uL,A260/280,A260/230,Cq1,Cq2,SQ1,SQ2,NH4_ugL,SRP_ugL,Avg Mass Extra Individuals (g) ,Notes
24,WF,TRL ,Y,140,11.08,0.2268,35,105.74,1.96,1.06,13.53,13.30,216287375,250492904,98.682,33.436,0.253733333,
52,WF,TRL ,Y,128,9.78,0.1715,32,90.35,1.94,1.14,12.40,12.67,442888213,372740241,55.741,13.115,0.253733333,
69,WF,TRL,Y,128,11.84,0.2597,35,14.37,1.73,0.38,22.15,21.90,1185492,1390283,61.498,18.665,0.253733333,
76,WF,TRL ,Y,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.642,21.79,0.253733333,Missing Sample
136,WF,TRL ,Y,130,10.37,0.224,33,43.60,1.91,0.72,15.74,15.82,53048054,50659291,108.028,19.276,0.253733333,
165,WF,TRL ,Y,138,10.63,0.2394,35,90.57,1.96,1.16,13.74,13.95,376405698,380478645,193.163,22.247,0.253733333,
181,WF,TRL ,Y,136,9.45,0.1714,34,81.90,2.07,1.24,15.22,15.26,125351185,134946523,110.52,14.948,0.253733333,
220,WF,TRL ,Y,128,7.02,0.0802,28,32.88,1.89,0.83,,,69730610,90619964,43.535,6.926,0.253733333,
229,WF,TRL ,Y,142,9.5,0.1938,35,94.78,1.96,1.22,12.65,12.80,634948748,567884751,70.813,6.367,0.253733333,
258,WF,TRL ,Y,128,10.67,0.2337,35,154.53,1.96,1.45,11.08,11.03,1731201932,1538260597,102.86,9.511,0.253733333,
27,WF,STB,Y,128,8.12,0.1212,32,86.18,1.91,1.06,14.70,14.89,102554841,91398540,68.308,9.23,0.308266667,
56,WF,STB,Y,128,10.05,0.2335,33,144.90,1.99,1.28,13.81,13.67,180569224,197653382,186.441,38.863,0.308266667,
128,WF,STB,Y,138,10.07,0.2093,31,72.25,1.76,0.64,16.51,16.59,32695472,31052215,180.12,36.972,0.308266667,
179,WF,STB,Y,128,9.66,0.1961,34,186.00,1.98,1.55,10.17,10.54,1820453525,1436931390,152.613,33.796,0.308266667,
188,WF,STB,Y,146,10.39,0.2405,35,150.67,1.94,1.15,13.73,13.70,190513415,193883883,195.205,26.598,0.308266667,
230,WF,STB,Y,142,10.65,0.3055,36,212.85,2.06,1.38,14.89,15.03,91279063,83270207,267.189,44.741,0.308266667,
233,WF,STB,Y,144,10.8,0.287,36,121.55,1.98,1.08,16.33,16.38,36522025,35467245,210.645,35.336,0.308266667,
252,WF,STB,Y,128,10.49,0.223,33,115.65,1.94,1.15,13.07,13.02,289954110,298819531,193.846,26.588,0.308266667,
259,WF,STB,Y,130,8.49,0.1878,31,64.30,1.82,0.68,17.01,17.16,23742391,21533662,128.696,27.392,0.308266667,
275,WF,STB,Y,128,10.97,0.3982,35,102.28,1.88,0.80,15.42,15.75,65230793,52854472,97.265,17.776,0.308266667,
8,WF,SEW,Y,152,10.01,0.2098,34,91.56,1.85,0.91,12.12,12.77,597379866,667838559,96.677,14.566,0.257033333,
41,WF,SEW,Y,132,8.61,0.175,33,38.18,1.89,0.59,16.27,16.32,54712785,52937807,149.168,19.565,0.257033333,
47,WF,SEW,Y,128,9.32,0.2061,35,68.80,1.94,0.90,17.16,17.21,37151561,37561867,133.032,9.502,0.257033333,
125,WF,SEW,Y,128,9.46,0.1944,34,139.34,1.93,1.25,12.39,12.56,628784579,710574722,62.378,5.481,0.257033333,
134,WF,SEW,Y,144,10.01,0.1835,34,77.89,1.86,0.83,16.16,16.69,77879043,86954759,86.772,21.745,0.257033333,
137,WF,SEW,Y,152,10.37,0.2084,34,107.06,1.81,0.86,15.22,15.22,146929794,178104408,112.1625,17.39,0.257033333,
145,WF,SEW,Y,144,9.72,0.1817,33,63.27,1.83,0.52,17.12,17.07,31455664,32535357,127.654,19.955,0.257033333,
162,WF,SEW,Y,128,8.93,0.1449,33,67.97,1.89,0.88,13.48,13.73,352553043,332112121,89.109,19.355,0.257033333,
222,WF,SEW,Y,122,8.36,0.1319,31,47.85,1.91,0.77,17.78,17.95,25218845,31029735,81.6795,12.6315,0.257033333,
246,WF,SEW,Y,136,8.53,0.1591,35,99.76,1.80,0.85,14.11,14.08,270180947,255510150,102.639,14.017,0.257033333,
3,WF,MIN,Y,144,10.72,0.2652,35,198.42,1.96,1.45,12.73,12.89,1367281077,581485307,206.641,30.715,0.2698,
16,WF,MIN,Y,134,11.3,0.322,35,251.30,1.91,1.31,13.18,13.18,415173840,1276039163,213.896,27.657,0.2698,
32,WF,MIN,Y,128,11.03,0.2874,34,78.03,1.80,0.86,14.80,14.69,193618878,197337463,198.425,34.714,0.2698,
58,WF,MIN,Y,146,10.9,0.2857,36,174.20,1.93,1.13,16.01,16.10,97806572,87449265,193.775,28.153,0.2698,
66,WF,MIN,Y,140,10.28,0.2608,33,83.72,1.97,1.11,17.53,17.55,30616861,33303331,217.269,24.564,0.2698,
107,WF,MIN,Y,144,9.8,0.2064,34,9.94,1.73,0.30,17.13,17.49,24724951,31266160,118.2185,21.6005,0.2698,
154,WF,MIN,Y,138,10.03,0.1874,31,33.94,1.86,0.47,21.14,21.28,3182788,2681922,131.794,22.152,0.2698,
158,WF,MIN,Y,144,11.31,0.2622,33,83.24,1.98,1.03,17.47,17.62,32468536,32863478,202.919,28.426,0.2698,
205,WF,MIN,Y,152,11.97,0.3317,31,33.66,1.76,0.46,,,1102871,1104806,246.206,28.99,0.2698,
217,WF,MIN,Y,128,9.52,0.2169,33,39.08,1.86,0.73,13.90,13.71,290660281,257729534,52.836,16.69,0.2698,
29,WF,RR,Y,158,10.4,0.1715,33,8.02,1.80,0.18,19.85,19.66,5288326,6011890,176.145,53.993,0.2931,
45,WF,RR,Y,154,10.63,0.2138,33,85.53,1.86,0.80,15.97,16.05,86044403,107493092,113.022,27.311,0.2931,
135,WF,RR,Y,136,10.75,0.2323,35,94.60,1.86,1.06,13.27,13.37,490162901,347917895,200.067,32.094,0.2931,
177,WF,RR,Y,128,10.33,0.1692,34,41.80,1.77,0.67,13.21,13.24,402719311,396058711,111.167,16.017,0.2931,
183,WF,RR,Y,144,9.59,0.1723,33,41.23,1.84,0.66,17.33,17.32,30977546,32730134,113.019,20.532,0.2931,
197,WF,RR,Y,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.367,52.735,0.2931,Missing Sample
221,WF,RR,Y,138,10.75,0.2524,33,136.30,2.01,1.46,12.46,12.47,1177571748,705143282,209.026,57.828,0.2931,
234,WF,RR,Y,152,10.47,0.2215,35,106.75,1.90,1.02,13.79,14.17,282788670,228379127,75.855,8.069,0.2931,
262,WF,RR,Y,140,9.86,0.1791,32,8.88,1.67,0.26,22.51,22.11,935822,1217872,150.78,36.113,0.2931,
266,WF,RR,Y,128,9.88,0.179,31,30.35,1.80,0.53,18.34,18.40,14201383,13666941,55.706,22.485,0.2931,
21,WF,SQR,Y,142,9.11,0.1936,34,87.66,1.85,0.83,13.91,14.00,254660834,241387059,156.189,42.407,0.3406,
48,WF,SQR,Y,138,11.62,0.2812,34,48.57,1.83,0.71,15.99,16.05,63054385,65579157,200.691,46.786,0.3406,
80,WF,SQR,Y,150,11.11,0.2512,34,174.94,1.87,1.19,12.39,12.31,444158043,467576780,99.02,23.549,0.3406,
116,WF,SQR,Y,136,10.62,0.2704,35,24.75,1.86,0.58,17.96,17.77,12974880,14690499,95.405,19.021,0.3406,
131,WF,SQR,Y,128,11.3,0.3316,35,56.65,1.92,0.80,19.64,19.70,4459755,4302923,172.721,40.686,0.3406,
168,WF,SQR,Y,164,11.03,0.3436,36,122.10,2.01,1.19,15.58,15.98,58947169,45507899,192.043,23.058,0.3406,
173,WF,SQR,Y,150,10.58,0.242,35,105.26,1.88,0.97,16.05,16.08,43554933,42788205,140.998,38.047,0.3406,
192,WF,SQR,Y,142,9.15,0.136,31,86.20,1.95,1.11,13.33,13.42,245481808,232082166,90.936,12.454,0.3406,
268,WF,SQR,Y,158,10.6,0.2777,31,25.67,1.80,0.44,19.18,19.37,5973102,5304101,234.6,57.048,0.3406,
269,WF,SQR,Y,160,10.32,0.2739,33,117.32,1.92,1.09,13.60,13.88,206948601,172534976,237.235,33.586,0.3406,
4,Toad,Toad,Y,289,7.92,0.0807,34,107.54,1.94,0.98,27.94,28.07,9319,8510,109.135,0.868,0.036266667,
70,Toad,Toad,Y,158,4.65,0.0245,30,NA,NA,NA,NA,NA,NA,NA,99.102,0.879,0.036266667,Missing Sample
126,Toad,Toad,Y,128,5.14,0.034,32,46.20,1.91,0.83,14.59,14.84,163816472.72967,139493404.23204,169.703,0.973,0.036266667,
144,Toad,Toad,Y,289,7.17,0.0712,34,142.07,1.85,0.89,27.26,27.33,14683,14026,214.357,22.269,0.036266667,
148,Toad,Toad,Y,289,8.67,0.1268,35,142.60,1.95,1.25,28.09,30.48,8398,1698,159.164,5.489,0.036266667,
159,Toad,Toad,Y,156,4.5,0.021,28,22.21,1.87,0.55,16.39,16.41,35146434,34798137,23.304,1.167,0.036266667,
212,Toad,Toad,Y,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.621,0.719,0.036266667,Missing Sample
