pop,death_hr,survival,rep,FV3
BJA,164,1,1,RV
BJA,146,1,2,RV
BJA,126,1,3,RV
BJA,138,1,4,RV
BJA,138,1,5,RV
BJA,138,1,6,RV
BJA,122,1,7,RV
BJA,142,1,8,RV
BJA,178,1,9,RV
BJA,134,1,10,RV
BJB,246,0,1,RV
BJB,160,1,2,RV
BJB,186,1,3,RV
BJB,158,1,4,RV
BJB,144,1,5,RV
BJB,50,1,6,RV
BJB,166,1,7,RV
BJB,246,0,8,RV
BJB,182,1,9,RV
BJB,38,1,10,RV
BJC,144,1,1,RV
BJC,162,1,2,RV
BJC,144,1,3,RV
BJC,178,1,4,RV
BJC,170,1,5,RV
BJC,160,1,6,RV
BJC,140,1,7,RV
BJC,246,0,8,RV
BJC,206,1,9,RV
BJC,170,1,10,RV
BJD,150,1,1,RV
BJD,20,1,2,RV
BJD,38,1,3,RV
BJD,178,1,4,RV
BJD,162,1,5,RV
BJD,136,1,6,RV
BJD,140,1,7,RV
BJD,20,1,8,RV
BJD,41,1,9,RV
BJD,246,0,10,RV
BJE,190,1,1,RV
BJE,154,1,2,RV
BJE,198,1,3,RV
BJE,170,1,4,RV
BJE,128,1,5,RV
BJE,150,1,6,RV
BJE,154,1,7,RV
BJE,138,1,8,RV
BJE,220,1,9,RV
BJE,146,1,10,RV
BJF,142,1,1,RV
BJF,246,0,2,RV
BJF,246,0,3,RV
BJF,134,1,4,RV
BJF,142,1,5,RV
BJF,246,0,6,RV
BJF,126,1,7,RV
BJF,160,1,8,RV
BJF,194,1,9,RV
BJF,150,1,10,RV
BJG,202,1,1,RV
BJG,198,1,2,RV
BJG,122,1,3,RV
BJG,178,1,4,RV
BJG,162,1,5,RV
BJG,146,1,6,RV
BJG,226,1,7,RV
BJG,154,1,8,RV
BJG,154,1,9,RV
BJG,170,1,10,RV
BJH,178,1,1,RV
BJH,206,1,2,RV
BJH,174,1,3,RV
BJH,160,1,4,RV
BJH,182,1,5,RV
BJH,190,1,6,RV
BJH,178,1,7,RV
BJH,148,1,8,RV
BJH,164,1,9,RV
BJH,194,1,10,RV
BJI,140,1,1,RV
BJI,246,0,2,RV
BJI,214,1,3,RV
BJI,210,1,4,RV
BJI,246,0,5,RV
BJI,190,1,6,RV
BJI,170,1,7,RV
BJI,194,1,8,RV
BJI,186,1,9,RV
BJI,178,1,10,RV
BJJ,246,0,1,RV
BJJ,162,1,2,RV
BJJ,126,1,3,RV
BJJ,246,0,4,RV
BJJ,246,0,5,RV
BJJ,246,0,6,RV
BJJ,246,0,7,RV
BJJ,158,1,8,RV
BJJ,166,1,9,RV
BJJ,178,1,10,RV
GRVA,116,1,1,RV
GRVA,148,1,2,RV
GRVA,138,1,3,RV
GRVA,122,1,4,RV
GRVA,154,1,5,RV
GRVA,116,1,6,RV
GRVA,144,1,7,RV
GRVA,132,1,8,RV
GRVA,174,1,9,RV
GRVA,122,1,10,RV
GRVB,128,1,1,RV
GRVB,246,0,2,RV
GRVB,182,1,3,RV
GRVB,148,1,4,RV
GRVB,238,1,5,RV
GRVB,174,1,6,RV
GRVB,186,1,7,RV
GRVB,194,1,8,RV
GRVB,194,1,9,RV
GRVB,144,1,10,RV
GRVC,174,1,1,RV
GRVC,214,1,2,RV
GRVC,164,1,3,RV
GRVC,246,0,4,RV
GRVC,182,1,5,RV
GRVC,164,1,6,RV
GRVC,142,1,7,RV
GRVC,190,1,8,RV
GRVC,186,1,9,RV
GRVC,202,1,10,RV
GRVD,146,1,1,RV
GRVD,190,1,2,RV
